"County","  Mitt Romney/Paul Ryan","  Barack Obama/Joe Biden","  Virgil Goode/James Clymer","  Jill Stein/Cheri Honkala","  Gary Johnson/James P. Gray","  Gloria LaRiva/Stefanie Beacham","  James Harris/Alyson Kennedy","  Jerry Litzel/Jim Litzel","  Write-In ","TOTALS"
"Adair",2114,1790,8,9,30,3,5,6,31,"3996"
"Adams",1108,1028,6,3,16,0,4,8,12,"2185"
"Allamakee",3264,3553,9,27,27,1,17,2,34,"6934"
"Appanoose",3161,2951,15,18,44,2,2,8,44,"6245"
"Audubon",1802,1611,8,8,12,1,1,2,12,"3457"
"Benton",6940,6862,31,25,100,6,2,10,47,"14023"
"Black Hawk",26235,39821,96,118,540,13,15,14,289,"67141"
"Boone",6556,7512,55,43,122,1,2,21,76,"14388"
"Bremer",6405,6763,13,16,82,3,4,7,53,"13346"
"Buchanan",4450,5911,19,34,65,4,5,5,42,"10535"
"Buena Vista",4554,3700,16,12,57,2,2,4,36,"8383"
"Butler",4106,3329,25,18,33,1,1,8,24,"7545"
"Calhoun",2891,2238,16,12,39,0,1,1,32,"5230"
"Carroll",5601,4947,23,13,42,5,1,8,34,"10674"
"Cass",4217,2858,21,15,46,4,9,5,30,"7205"
"Cedar",4529,4972,14,15,72,0,1,5,41,"9649"
"Cerro Gordo",10128,13316,44,48,147,6,7,12,116,"23824"
"Cherokee",3662,2634,12,19,45,3,5,4,31,"6415"
"Chickasaw",2836,3554,15,15,35,3,2,4,20,"6484"
"Clarke",2124,2189,18,17,38,2,2,10,30,"4430"
"Clay",4951,3385,13,24,58,0,5,5,61,"8502"
"Clayton",4164,4806,19,33,57,3,5,4,47,"9138"
"Clinton",9432,15141,61,55,187,2,6,16,100,"25000"
"Crawford",3595,3066,9,16,32,4,3,3,24,"6752"
"Dallas",20988,16576,57,49,273,6,4,24,139,"38116"
"Davis",2138,1520,32,10,38,2,1,4,28,"3773"
"Decatur",1947,1791,12,15,33,3,5,9,18,"3833"
"Delaware",4636,4616,10,24,46,3,2,5,36,"9378"
"Des Moines",8136,11888,33,68,137,6,7,10,100,"20385"
"Dickinson",5912,4095,18,23,68,2,2,6,33,"10159"
"Dubuque",21280,28768,65,111,438,9,13,13,197,"50894"
"Emmet",2507,2099,10,16,27,2,3,2,21,"4687"
"Fayette",4492,5732,21,28,56,0,2,11,24,"10366"
"Floyd",3472,4680,11,22,43,2,2,8,17,"8257"
"Franklin",2823,2266,12,7,33,2,0,5,38,"5186"
"Fremont",1972,1637,5,9,24,5,3,2,11,"3668"
"Greene",2380,2375,11,8,30,3,5,6,28,"4846"
"Grundy",4215,2635,18,10,33,1,6,3,41,"6962"
"Guthrie",3171,2569,12,15,74,0,5,9,33,"5888"
"Hamilton",3991,3782,29,19,54,0,0,9,43,"7927"
"Hancock",3317,2521,10,16,39,2,1,2,17,"5925"
"Hardin",4670,4075,24,17,53,0,5,8,46,"8898"
"Harrison",4065,3136,15,15,52,2,3,5,29,"7322"
"Henry",5035,4460,25,27,66,3,4,12,65,"9697"
"Howard",1795,2768,8,10,41,3,0,3,17,"4645"
"Humboldt",3099,1972,11,13,23,2,2,7,29,"5158"
"Ida",2286,1321,7,9,14,0,3,2,21,"3663"
"Iowa",4569,4144,28,27,52,3,3,6,34,"8866"
"Jackson",4177,5907,22,15,67,1,1,3,49,"10242"
"Jasper",8877,10257,59,42,149,3,2,23,103,"19515"
"Jefferson",3436,4798,12,59,126,3,2,3,91,"8530"
"Johnson",23698,50666,67,333,846,10,11,26,320,"75977"
"Jones",4721,5534,32,23,83,0,2,5,49,"10449"
"Keokuk",2843,2303,17,21,36,3,1,7,35,"5266"
"Kossuth",4937,3850,17,22,43,3,3,9,39,"8923"
"Lee",7785,10714,55,50,161,6,6,18,116,"18911"
"Linn",47622,68581,148,221,1230,17,12,46,576,"118453"
"Louisa",2420,2452,21,11,20,0,1,4,39,"4968"
"Lucas",2254,1987,18,4,20,1,1,4,34,"4323"
"Lyon",4978,1423,23,14,39,1,2,6,23,"6509"
"Madison",4638,3630,29,14,90,0,3,11,43,"8458"
"Mahaska",6448,4213,30,28,82,5,1,5,71,"10883"
"Marion",9828,7507,43,30,149,10,7,9,104,"17687"
"Marshall",8472,10257,56,31,116,6,4,22,100,"19064"
"Mills",4216,2848,14,19,68,7,2,6,32,"7212"
"Mitchell",2643,2831,5,17,40,2,2,6,40,"5586"
"Monona",2557,2101,9,10,29,3,1,3,29,"4742"
"Monroe",2026,1731,17,5,22,2,2,4,21,"3830"
"Montgomery",3001,1922,11,18,42,1,2,8,20,"5025"
"Muscatine",8168,11323,42,48,177,3,6,11,87,"19865"
"O'Brien",5266,1969,18,10,33,3,6,2,34,"7341"
"Osceola",2230,912,12,9,16,1,4,3,7,"3194"
"Page",4348,2613,15,12,43,1,12,5,30,"7079"
"Palo Alto",2660,2139,12,17,28,5,5,3,18,"4887"
"Plymouth",8597,4164,14,29,89,1,7,4,45,"12950"
"Pocahontas",2396,1523,11,16,47,2,2,9,26,"4032"
"Polk",96096,128465,386,479,2183,38,57,132,1046,"228882"
"Pottawattamie",21860,19644,89,122,328,13,6,27,212,"42301"
"Poweshiek",4424,5357,24,31,79,2,2,7,49,"9975"
"Ringgold",1368,1186,8,6,12,2,2,2,13,"2599"
"Sac",3094,2122,13,12,26,1,1,0,22,"5291"
"Scott",38251,50652,98,165,702,28,4,27,336,"90263"
"Shelby",3911,2469,11,12,56,3,2,1,18,"6483"
"Sioux",14407,2700,45,14,76,1,1,1,63,"17308"
"Story",19668,26192,65,139,727,12,12,85,250,"47150"
"Tama",4098,4768,23,19,45,2,2,9,51,"9017"
"Taylor",1683,1262,10,4,19,0,2,2,13,"2995"
"Union",2813,3043,13,10,37,1,5,5,30,"5957"
"Van Buren",2064,1402,22,19,35,0,0,8,19,"3569"
"Wapello",6789,8663,69,38,110,5,5,10,81,"15770"
"Warren",13052,12551,51,49,188,6,8,22,145,"26072"
"Washington",5562,5115,25,115,103,1,5,12,66,"11004"
"Wayne",1583,1251,13,8,21,2,2,6,14,"2900"
"Webster",8469,9537,44,43,92,5,4,20,78,"18292"
"Winnebago",2906,2903,16,23,37,1,4,5,23,"5918"
"Winneshiek",4622,6256,18,40,87,1,4,4,52,"11084"
"Woodbury",21841,22302,94,91,334,16,14,21,306,"45019"
"Worth",1744,2350,12,7,28,1,5,4,21,"4172"
"Wright",3349,2836,10,14,37,1,0,9,22,"6278"
