,,,"MITT ROMNEY/PAUL RYAN","BARACK OBAMA/JOE BIDEN","VIRGIL GOODE/JIM CLYMER","GARY JOHNSON/JAMES P. GRAY","GLORIA LA RIVA/FILBERTO RAMIREZ, JR.","JERRY WHITE/PHYLLIS SCHERRER","JILL STEIN/BEN MANSKI","ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN)",,,,"ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
"ADAMS ",,"10,287","4,644","5,542",16,51,3,5,10,0,,,,2,14
"ASHLAND ",,"8,372","2,820","5,399",18,50,4,3,59,2,,,,0,17
"BARRON ",,"22,692","11,443","10,890",47,169,5,6,54,15,,,,23,40
"BAYFIELD ",,"9,788","3,603","6,033",17,55,0,1,67,0,,,,0,12
"BROWN ",,"128,928","64,836","62,526",204,805,21,16,308,0,,,,1,211
"BUFFALO ",,"7,039","3,364","3,570",29,41,3,4,14,0,,,,2,12
"BURNETT ",,"8,677","4,550","3,986",26,64,5,1,24,0,,,,0,21
"CALUMET ",,"26,420","14,539","11,489",54,224,6,6,56,0,,,,0,46
"CHIPPEWA ",,"30,932","15,322","15,237",69,183,3,13,67,1,,,,2,35
"CLARK ",,"13,801","7,412","6,172",42,87,7,8,39,0,,,,0,34
"COLUMBIA ",,"30,546","13,026","17,175",36,180,2,1,69,0,,,,0,57
"CRAWFORD ",,"7,817","3,067","4,629",16,62,4,4,19,0,,,,0,16
"DANE ",,"304,181","83,644","216,071",307,"2,294",38,47,"1,335",36,,,,3,406
"DODGE ",,"44,488","25,211","18,762",76,267,5,14,83,0,,,,1,69
"DOOR ",,"17,671","8,121","9,357",22,83,6,2,47,0,,,,0,33
"DOUGLAS ",,"22,894","7,705","14,863",48,151,4,5,104,0,,,,0,14
"DUNN ",,"21,992","10,224","11,316",49,271,6,5,69,2,,,,0,50
"EAU CLAIRE ",,"54,806","23,256","30,666",75,494,9,6,176,1,,,,0,123
"FLORENCE ",,"2,625","1,645",953,6,12,0,1,1,0,,,,0,7
"FOND DU LAC ",,"53,402","30,355","22,379",115,351,5,8,111,2,,,,4,72
"FOREST ",,"4,648","2,172","2,425",11,23,0,4,6,0,,,,0,7
"GRANT ",,"24,248","10,255","13,594",62,201,9,5,56,1,,,,0,65
"GREEN ",,"19,322","7,857","11,206",29,142,2,3,44,0,,,,0,39
"GREEN LAKE ",,"9,675","5,782","3,793",22,43,4,0,19,0,,,,1,11
"IOWA ",,"12,534","4,287","8,105",13,78,0,2,27,0,,,,0,22
"IRON ",,"3,632","1,790","1,784",10,27,2,2,9,0,,,,0,8
"JACKSON ",,"9,313","3,900","5,298",17,48,4,4,21,0,,,,0,21
"JEFFERSON ",,"44,281","23,517","20,158",93,303,3,7,106,0,,,,0,94
"JUNEAU ",,"11,827","5,411","6,242",22,82,2,3,33,0,,,,0,32
"KENOSHA ",,"80,897","34,977","44,867",97,566,20,11,188,1,,,,0,170
"KEWAUNEE ",,"11,037","5,747","5,153",27,56,2,6,30,0,,,,0,16
"LA CROSSE ",,"63,462","25,751","36,693",129,547,9,12,176,8,,,,5,132
"LAFAYETTE ",,"7,952","3,314","4,536",17,46,2,3,25,0,,,,0,9
"LANGLADE ",,"10,519","5,816","4,573",26,49,2,3,22,0,,,,0,28
"LINCOLN ",,"15,216","7,455","7,563",37,90,1,3,35,0,,,,0,32
"MANITOWOC ",,"42,617","21,604","20,403",111,300,7,5,102,1,,,,2,82
"MARATHON ",,"69,862","36,617","32,363",126,421,6,15,175,1,,,,3,135
"MARINETTE ",,"20,777","10,619","9,882",38,141,4,4,51,0,,,,0,38
"MARQUETTE ",,"8,105","3,992","4,014",17,43,2,4,13,0,,,,0,20
"MENOMINEE ",,"1,377",179,"1,191",1,5,0,0,1,0,,,,0,0
"MILWAUKEE ",,"492,576","154,924","332,438",594,"2,623",98,78,"1,042",2,,,,2,775
"MONROE ",,"19,485","9,675","9,515",47,132,6,8,55,1,,,,4,42
"OCONTO ",,"19,859","10,741","8,865",35,138,6,3,43,1,,,,0,27
"ONEIDA ",,"21,652","10,917","10,452",51,137,2,1,44,2,,,,0,46
"OUTAGAMIE ",,"94,596","47,372","45,659",176,961,16,16,240,2,,,,3,151
"OZAUKEE ",,"55,817","36,077","19,159",52,317,6,1,127,3,,,,4,71
"PEPIN ",,"3,699","1,794","1,876",8,12,1,1,6,0,,,,0,1
"PIERCE ",,"21,020","10,397","10,235",58,177,5,2,86,0,,,,0,60
"POLK ",,"22,573","12,094","10,073",46,226,4,11,79,0,,,,0,40
"PORTAGE ",,"39,337","16,615","22,075",73,309,7,5,143,2,,,,1,107
"PRICE ",,"7,901","3,884","3,887",21,60,2,3,23,0,,,,0,21
"RACINE ",,"103,364","49,347","53,008",153,550,14,17,149,12,,,,8,106
"RICHLAND ",,"8,655","3,573","4,969",20,53,2,1,26,0,,,,0,11
"ROCK ",,"80,690","30,517","49,219",170,470,10,17,148,0,,,,0,139
"RUSK ",,"7,191","3,676","3,397",23,52,5,2,25,0,,,,0,11
"SAUK ",,"31,927","12,838","18,736",34,179,4,4,66,1,,,,2,63
"SAWYER ",,"9,025","4,442","4,486",20,37,0,4,26,0,,,,0,10
"SHAWANO ",,"20,279","11,022","9,000",40,139,6,4,32,0,,,,0,36
"SHEBOYGAN ",,"62,651","34,072","27,918",116,372,10,15,115,4,,,,3,26
"ST. CROIX ",,"46,225","25,503","19,910",76,455,6,14,112,1,,,,0,148
"TAYLOR ",,"9,512","5,601","3,763",31,58,7,6,28,0,,,,0,18
"TREMPEALEAU ",,"13,481","5,707","7,605",23,82,3,5,41,0,,,,0,15
"VERNON ",,"14,269","5,942","8,044",42,103,8,2,96,0,,,,0,32
"VILAS ",,"13,842","7,749","5,951",17,61,2,1,35,0,,,,0,26
"WALWORTH ",,"52,303","29,006","22,552",83,441,10,10,102,0,,,,0,99
"WASHBURN ",,"9,287","4,699","4,447",13,79,3,1,25,0,,,,0,20
"WASHINGTON ",,"78,742","54,765","23,166",122,435,10,7,139,4,,,,2,92
"WAUKESHA ",,"243,856","162,798","78,779",297,"1,262",26,21,311,0,,,,1,361
"WAUPACA ",,"28,840","17,002","11,578",45,142,7,5,49,2,,,,2,8
"WAUSHARA ",,"12,048","6,562","5,335",29,64,4,7,27,0,,,,0,20
"WINNEBAGO ",,"89,173","42,122","45,449",136,922,14,24,238,4,,,,5,259
"WOOD ",,"38,900","19,704","18,581",102,286,5,5,136,0,,,,2,79
